fid	AUC	study
495	GT3	0.49625	PRJNA293971
496	GT3	0.521025641025641	PRJNA306884
497	GT3	0.478294461345309	PRJNA428736
498	GT30	0.524602867105773	PRJEB41443
499	GT30	0.546556532932847	PRJNA560950
500	GT30	0.505878378378378	PRJNA780023
501	GT30	0.492271718452758	PRJNA891951
502	GT30	0.49125	PRJNA293971
503	GT30	0.521709401709402	PRJNA306884
504	GT30	0.48452363706601	PRJNA428736
505	GT35	0.420379697791554	PRJEB41443
506	GT35	0.469748980905385	PRJNA560950
507	GT35	0.49222972972973	PRJNA780023
508	GT35	0.503527266962587	PRJNA891951
509	GT35	0.48	PRJNA293971
510	GT35	0.456752136752137	PRJNA306884
511	GT35	0.519215679173306	PRJNA428736
512	GT36	0.493994575745835	PRJEB41443
513	GT36	0.543231066294787	PRJNA560950
514	GT36	0.503108108108108	PRJNA780023
515	GT36	0.512444514901712	PRJNA891951
516	GT36	0.43	PRJNA293971
517	GT36	0.452136752136752	PRJNA306884
518	GT36	0.530979887971413	PRJNA428736
519	GT39	0.484308407593956	PRJEB41443
520	GT39	0.468139884145033	PRJNA560950
521	GT39	0.521351351351351	PRJNA780023
522	GT39	0.577243183259353	PRJNA891951
523	GT39	0.5125	PRJNA293971
524	GT39	0.417435897435897	PRJNA306884
525	GT39	0.488018494374427	PRJNA428736
526	GT4	0.391321193335916	PRJEB41443
527	GT4	0.443359794035615	PRJNA560950
528	GT4	0.475067567567568	PRJNA780023
529	GT4	0.496195307545973	PRJNA891951
530	GT4	0.46125	PRJNA293971
531	GT4	0.42974358974359	PRJNA306884
532	GT4	0.50832669370805	PRJNA428736
533	GT5	0.48237117396358	PRJEB41443
534	GT5	0.544732889937782	PRJNA560950
535	GT5	0.495405405405405	PRJNA780023
536	GT5	0.488268864933418	PRJNA891951
537	GT5	0.54125	PRJNA293971
538	GT5	0.442393162393162	PRJNA306884
539	GT5	0.493453933072577	PRJNA428736
540	GT51	0.445563734986439	PRJEB41443
541	GT51	0.545161982407209	PRJNA560950
542	GT51	0.484189189189189	PRJNA780023
543	GT51	0.446337983512999	PRJNA891951
544	GT51	0.5525	PRJNA293971
545	GT51	0.404444444444444	PRJNA306884
546	GT51	0.467387367811097	PRJNA428736
547	GT52	0.48876404494382	PRJEB41443
548	GT52	0.499517270971894	PRJNA560950
549	GT52	0.5	PRJNA780023
